"movieNm","salesAcc","movieCd","salesAmt","salesShare","salesInten","salesChange","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt","genreNm","dir_peopleNm","act_peopleNm1","act_peopleNm2","watchGradeNm"
조작된 도시,20007436687,20150964,27730300,1.8,-72232100,-72.3,3820,-8081,-67.9,2496209,236,412,범죄,박광현,지창욱,심은경,"15세이상관람가"
조제,1869100250,20201002,7232490,2.3,3270750,82.6,756,333,78.7,208321,174,205,멜로/로맨스,김종관,한지민,남주혁,"15세이상관람가"
"조제, 호랑이 그리고 물고기들",162544460,20205155,10564660,2.8,641260,6.5,1155,93,8.8,18249,291,401,애니메이션,타무라 코타로,나카가와 타이시,키요하라 카야,"12세이상관람가"
조조 래빗,904708300,20197390,9679140,0.8,-2633380,-21.4,1093,-277,-20.2,105411,106,177,코미디,타이카 와이티티,스칼렛 요한슨,로만 그리핀 데이비스,"12세이상관람가"
조조-황제의 반란,521867000,20120021,12553500,0.2,-2335000,-15.7,1612,-334,-17.2,73424,72,129,사극,조림산,주윤발,유역비,"15세이상관람가"
조커,45197896680,20199950,27809820,1.3,-37282540,-57.3,3345,-3927,-54,5226539,207,322,액션,토드 필립스,호아킨 피닉스,재지 비츠,"15세이상관람가"
존 윅,810974837,20143253,64718300,2.4,-93952100,-59.2,8574,-10497,-55,101143,310,815,액션,채드 스타헬스키,키아누 리브스,애드리앤 팰리키,청소년관람불가
존 윅 - 리로드,2043167500,20166101,25878900,1.7,-41171600,-61.4,3964,-3573,-47.4,251651,176,402,액션,채드 스타헬스키,키아누 리브스,이안 맥쉐인,청소년관람불가
존 윅 3: 파라벨룸,8083303000,20196655,10030920,0.2,653060,7,3745,891,31.2,955493,25,50,액션,채드 스타헬스키,키아누 리브스,할리 베리,청소년관람불가
존 카터: 바숨 전쟁의 서막 ,7226790500,20124629,5773500,0.4,-972500,-14.4,805,-160,-16.6,837754,120,224,SF,앤드류 스탠튼,테일러 키취,린 콜린스,"12세이상관람가"
좀비랜드: 더블 탭,721006490,20198421,241038500,3.7,77957140,47.8,26562,8108,43.9,83787,535,1491,액션,루벤 플레셔,우디 해럴슨,제시 아이젠버그,"15세이상관람가"
종이 달,105699100,20151482,10451200,0.1,4261700,68.9,1239,477,62.6,13396,28,42,드라마,요시다 다이하치,미야자와 리에,이케마츠 소스케,청소년관람불가
종이꽃,46272570,20196676,3779900,0.6,-6046100,-61.5,484,-664,-57.8,5441,187,243,드라마,고훈,안성기,유진,"12세이상관람가"
좋아해줘,6478054037,20150977,60097700,0.9,-6675400,-10,6917,-734,-9.6,835704,124,222,멜로/로맨스,박현진,이미연,최지우,"12세이상관람가"
좋은 친구들,3102879110,20148745,97181800,4.8,-86891700,-47.2,12965,-9417,-42.1,391347,271,882,범죄,이도윤,한도진,지성,청소년관람불가
주먹왕 랄프,6532035000,20129388,34016000,1.2,-5122500,-13.1,5270,-737,-12.3,909401,182,289,애니메이션,리치 무어,존 C. 라일리,잭 맥브레이어,전체관람가
